"center","scale","var","log","plus"
12.3085991946601,6.30898175453599,"tempave.sc",FALSE,0
19.9221039448838,12.9376941608059,"tempave_metab.sc",FALSE,0
5.25065530706651,2.52896009473047,"seas.sc",FALSE,0
-1.90951638518669,1.02324587879976,"microclim.sc",TRUE,0
0.20773534015133,0.738754313273648,"tempchange.sc",FALSE,0
0.581096744910275,0.501236711242949,"tempchange_abs.sc",FALSE,0
8.20067808542212,3.13859730993073,"mass.sc",TRUE,0
3.18219053532247,0.934341152561838,"speed.sc",TRUE,1
2.47646025884065,1.44979201721093,"lifespan.sc",FALSE,0
0.954801243860183,0.17155547012838,"consumerfrac.sc",FALSE,0
0.263050691904708,0.435808285554813,"endothermfrac.sc",FALSE,0
3.42848132010242,0.913383521496812,"nspp.sc",TRUE,0
1.11066622625154,3.73717941220993,"thermal_bias.sc",FALSE,0
7.0593562024345,0.623135606398067,"npp.sc",TRUE,0
0.106118181281924,0.215534939085565,"veg.sc",TRUE,1
1.87953761230234,1.01228464457336,"duration.sc",TRUE,0
1.23218843084223,0.598941295834492,"human_bowler.sc",TRUE,1
2.31142085560633,0.892598251816693,"human_footprint.sc",TRUE,0
